"n.obs","location","logger","altitude.m.bf","RASTERVALU","altitude.m.pred","altitude.m.diff","N","sd","altitude.m.e_err","altitude.m.rel_err"
7310,"BAOL022X","barodata/BAOL022X_B5469.csv",11.691203535275,71.9300003052,29.2361426736843,17.5449391384093,7308,0.509189532717312,16.9729844239104,1.0336979461133
4950,"BAOL021X","barodata/BAOL021X_78685.csv",4.05285993647689,62.9199981689,21.4909673714785,17.4381074350016,4953,0.509189532717312,16.9729844239104,1.02740372579591
3040,"BAOL005X","barodata/BAOL005X_72525.csv",-19.9286038761014,39.7700004578,1.59077336422548,21.5193772403269,3042,0.653367719773727,21.7789239924576,0.988082664128837
4550,"BAOL008X","barodata/BAOL008X_72528.csv",-32.3055742704198,19.7700004578,-15.6016205665188,16.703953703901,4549,0.509189532717312,16.9729844239104,0.984149474642158
550,"BAOL541X","barodata/BAOL541X_B_00640.csv",42.2081179287768,22.2594013214,-13.4616825515915,55.6698004803683,552,1.70438253057506,56.8127510191688,0.979882147611285
6830,"BAOL090X","barodata/BAOL090X_29502.csv",4.4791275604264,24.4799995422,-11.5528125828963,16.0319401433227,6831,0.509189532717312,16.9729844239104,0.944556345714781
1200,"BAOL009X","barodata/BAOL009X_78680.csv",25.6343880743788,27.8899993896,-8.62150954888239,34.2558976232612,1204,1.09998815013092,36.6662716710308,0.934261817798237
6380,"BAOL010X","barodata/BAOL010X_78686.csv",58.9117246333549,89.1100006104,44.0044093225496,14.9073153108053,6385,0.509189532717312,16.9729844239104,0.878296647100254
3920,"BAOL828X","barodata/BAOL828X_P2_15705.csv",11.5974720285626,68.4797744751,26.2702605926289,14.6727885640663,3921,0.509189532717312,16.9729844239104,0.864478997776974
850,"BAOL045X","barodata/BAOL045X_59223.csv",-52.4090142299481,19.0300006866,-16.2377389452754,36.1712752846727,854,1.32158313159691,44.0527710532302,0.821089670862384
1720,"BAOL079X","barodata/BAOL079X_R6513.csv",-20.5396545041087,44.9799995422,6.06939119611656,26.6090457002253,1721,0.979874106937461,32.6624702312487,0.814667277515587
2840,"BAOL823X","barodata/BAOL823X_P2_15607.csv",-48.0725849712196,4.23999977112,-28.9515150440254,19.1210699271942,2842,0.709352402304604,23.6450800768201,0.808670127784389
720,"BAOL529X","barodata/BAOL529X_B_B2121.csv",73.1238796307182,80.0492477417,36.215607691159,36.9082719395593,723,1.41195254784324,47.0650849281081,0.784196437676392
