"","altitude.m.bf"
"barometer/BAOL815X_P2_16660.csv",-27.5899578681796
"barometer/BAOL816X_P2_16672.csv",-23.7678738900338
"barometer/BAOL817X_P2_16659.csv",-27.9015968735883
"barometer/BAOL818X_P2_16673.csv",-27.7649366535553
"barometer/BAOL819X_P2_16661.csv",-27.7445013264854
"barometer/BAOL820X_P2_16674.csv",-28.0178205106092
"barometer/BAOL822X_P2_15621.csv",-32.8447461690233
"barometer/BAOL823X_P2_15607.csv",-48.0725849712196
"barometer/BAOL824X_P2_15563.csv",-52.4383735109688
"barometer/BAOL825X_P2_16665.csv",-27.081608675163
"barometer/BAOL826X_P2_15615.csv",-24.1990042442589
"barometer/BAOL828X_P2_15705.csv",11.5974720285626
"barometer/BAOL829X_P2_15611.csv",31.9672250999124
"barometer/BAOL830X_P2_15562.csv",29.9217770073028
"barometer/BAOL831X_P2_15698.csv",-25.5060970095411
"barometer/BAOL831X_P2_16667.csv",-30.4392385278771
"barometer/BAOL833X_P2_15608.csv",25.3397623786738
"barometer/BAOL835X_P2_16672.csv",-22.5145271543852
"barometer/BAOL836X_P2_16668.csv",-12.7661284838478
"barometer/BAOL837X_P2_15430.csv",-2.37637353298116
"barometer/BAOL837X_P2_15695.csv",9.82263713350361
"barometer/BAOL838X_P2_17222.csv",-1.04475313924887
"barometer/BAOL839X_P2_15707.csv",-41.6657221749207
"barometer/BAOL840X_P2_15468.csv",-0.603616348651205
"barometer/BAOL841X_P2_15696.csv",-13.5469569436894
"barometer/BAOL842X_t1108.csv",-14.5294333008748
"barometer/BAOL844X_T5753.csv",-5.04865006910047
"barometer/BAOL845X_P2_15488.csv",-80.5597788114833
"barometer/BAOL846X_P2_825.csv",-22.6791362009723
"barometer/BAOL847X_P2_15664.csv",-9.73882586050387
"barometer/BAOL848X_T5738.csv",33.1657469836185
"barometer/BAOL849X_A9771.csv",97.6505722378009
"barometer/BAOL850X_T5742.csv",-46.6184681631253
"barometer/BAOL900X_D0000.csv",-38.2445572909179
"barometer/BAOL901X_D0001.csv",-18.3804485772743
